tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,relative_angle,slip_angle,angle_velocity,angle_acceleration,can_switch,lane_start,lane_end,bend_direction,piece_index,in_piece_distance,is_crashed
34,Thresh40,germany,0.25,1.2164863061795117,1.2164863061795117,0.02619415701674299,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,22.89217099720386,0
35,Thresh40,germany,0.25,1.2421565800559229,1.2421565800559229,0.025670273876411187,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,24.134327577259782,0
36,Thresh40,germany,0.25,1.2673134484548036,1.2673134484548036,0.02515686839888076,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,25.401641025714586,0
37,Thresh40,germany,0.25,1.291967179485706,1.291967179485706,0.024653731030902293,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,26.69360820520029,0
38,Thresh40,germany,0.25,1.316127835895994,1.316127835895994,0.024160656410288084,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,28.009736041096286,0
39,Thresh40,germany,0.25,1.3398052791780728,1.3398052791780728,0.02367744328207877,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,29.34954132027436,0
40,Thresh40,germany,0.25,1.363009173594513,1.363009173594513,0.023203894416440107,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,30.71255049386887,0
41,Thresh40,germany,0.25,1.3857489901226252,1.3857489901226252,0.0227398165281123,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,32.0982994839915,0
42,Thresh40,germany,0.25,1.408034010320172,1.408034010320172,0.022285020197546856,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,33.50633349431167,0
43,Thresh40,germany,0.25,1.4298733301137645,1.4298733301137645,0.021839319793592438,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,34.93620682442543,0
44,Thresh40,germany,0.25,1.4512758635114906,1.4512758635114906,0.02140253339772613,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,36.387482687936924,0
45,Thresh40,germany,0.25,1.4722503462412604,1.4722503462412604,0.02097448272976976,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,37.859733034178184,0
46,Thresh40,germany,0.25,1.4928053393164333,1.4928053393164333,0.020554993075172945,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,39.35253837349462,0
47,Thresh40,germany,0.25,1.5129492325301044,1.5129492325301044,0.02014389321367105,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,40.86548760602472,0
48,Thresh40,germany,0.25,1.5326902478795077,1.5326902478795077,0.019741015349403312,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,42.39817785390423,0
49,Thresh40,germany,0.25,1.5520364429219171,1.5520364429219171,0.01934619504240942,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,43.95021429682615,0
50,Thresh40,germany,0.25,1.5709957140634785,1.5709957140634785,0.018959271141561373,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,45.521210010889625,0
51,Thresh40,germany,0.25,1.5895757997822102,1.5895757997822102,0.01858008571873171,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,47.110785810671835,0
