tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,relative_angle,slip_angle,angle_velocity,angle_acceleration,can_switch,lane_start,lane_end,bend_direction,piece_index,in_piece_distance,is_crashed
53,gradual2,keimola,0.5915899999999986,3.883992299476972,3.883992299476972,0.04146750409230471,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,22.81367732562793,0
54,gradual2,keimola,0.5916199999999986,3.924636453487434,3.924636453487434,0.04064415401046162,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,26.738313779115362,0
55,gradual2,keimola,0.5916499999999986,3.964473724417683,3.964473724417683,0.03983727093024925,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,30.702787503533045,0
56,gradual2,keimola,0.5916799999999985,4.0035202499293305,4.0035202499293305,0.039046525511647445,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,34.706307753462376,0
57,gradual2,keimola,0.5917099999999985,4.041791844930742,4.041791844930742,0.03827159500141164,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,38.74809959839312,0
58,gradual2,keimola,0.5917399999999985,4.079304008032132,4.079304008032132,0.03751216310138972,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,42.82740360642525,0
59,gradual2,keimola,0.5917699999999985,4.116071927871488,4.116071927871488,0.03676791983935601,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,46.94347553429674,0
60,gradual2,keimola,0.5917999999999984,4.152110489314055,4.152110489314055,0.036038561442566674,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,51.09558602361079,0
61,gradual2,keimola,0.5918299999999984,4.187434279527771,4.187434279527771,0.03532379021371668,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,55.283020303138564,0
62,gradual2,keimola,0.5918599999999984,4.222057593937215,4.222057593937215,0.034623314409444106,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,59.50507789707578,0
63,gradual2,keimola,0.5918899999999984,4.255994442058473,4.255994442058473,0.03393684812125741,inf,0.0,0.0,0.0,0.0,0,0,0,0,1,63.76107233913425,0
