map_id,tick,car,throttle,switch_lane,velocity_x,velocity_y,coord_x,coord_y,angle,angle_offset,lap,piece_id,piece_pos,lane_start,lane_end,is_crashed,velocity
BYAW0P3YPS31LXW035Y7,1,python_unmodified_red,,,0.0,0.0,43.99999999999996,-310.00000000000006,90.0,0.0,0,0,0.0,0,0,,
BYAW0P3YPS31LXW035Y7,2,python_unmodified_red,,,0.0,0.0,43.99999999999996,-310.00000000000006,90.0,0.0,0,0,0.0,0,0,,
BYAW0P3YPS31LXW035Y7,3,python_unmodified_red,,,-0.08939966636005603,-0.04480736161291654,44.09999999999996,-310.00000000000006,90.0,0.0,0,0,0.1,0,0,,
BYAW0P3YPS31LXW035Y7,4,python_unmodified_red,,,-0.17701133939291094,-0.08871857599357474,44.29799999999996,-310.00000000000006,90.0,0.0,0,0,0.29800000000000004,0,0,,
BYAW0P3YPS31LXW035Y7,5,python_unmodified_red,,,-0.26287077896510874,-0.13175156608661978,44.592039999999955,-310.00000000000006,90.0,0.0,0,0,0.5920400000000001,0,0,,
BYAW0P3YPS31LXW035Y7,6,python_unmodified_red,,,-0.3470130297458626,-0.17392389637780395,44.98019919999996,-310.00000000000006,90.0,0.0,0,0,0.9801992000000002,0,0,,
BYAW0P3YPS31LXW035Y7,7,python_unmodified_red,,,-0.4294724355110014,-0.2152527800631644,45.46059521599996,-310.00000000000006,90.0,0.0,0,0,1.4605952160000002,0,0,,
BYAW0P3YPS31LXW035Y7,8,python_unmodified_red,,,-0.5102826531608374,-0.2557550860748176,46.03138331167996,-310.00000000000006,90.0,0.0,0,0,2.03138331168,0,0,,
BYAW0P3YPS31LXW035Y7,9,python_unmodified_red,,,-0.5894766664576767,-0.29544734596623784,46.69075564544636,-310.00000000000006,90.0,0.0,0,0,2.6907556454464,0,0,,
BYAW0P3YPS31LXW035Y7,10,python_unmodified_red,,,-0.6670867994885792,-0.33434576065982957,47.43694053253743,-310.00000000000006,90.0,0.0,0,0,3.4369405325374722,0,0,,
BYAW0P3YPS31LXW035Y7,11,python_unmodified_red,,,-0.7431447298588636,-0.3724662070595495,48.26820172188668,-310.00000000000006,90.0,0.0,0,0,4.268201721886722,0,0,,
BYAW0P3YPS31LXW035Y7,12,python_unmodified_red,,,-0.8176815016217424,-0.4098242445312751,49.182837687448945,-310.00000000000006,90.0,0.0,0,0,5.182837687448988,0,0,,
BYAW0P3YPS31LXW035Y7,13,python_unmodified_red,,,-0.8907275379493635,-0.4464351212535661,50.17918093369997,-310.00000000000006,90.0,0.0,0,0,6.179180933700008,0,0,,
BYAW0P3YPS31LXW035Y7,14,python_unmodified_red,,,-0.9623126535504322,-0.48231378044141127,51.255597315025966,-310.00000000000006,90.0,0.0,0,0,7.255597315026007,0,0,,
BYAW0P3YPS31LXW035Y7,15,python_unmodified_red,,,-1.0324660668394796,-0.5174748664454996,52.410485368725446,-310.00000000000006,90.0,0.0,0,0,8.410485368725487,0,0,,
BYAW0P3YPS31LXW035Y7,16,python_unmodified_red,,,-1.1012164118627459,-0.5519327307295061,53.642275661350936,-310.00000000000006,90.0,0.0,0,0,9.642275661350977,0,0,,
BYAW0P3YPS31LXW035Y7,17,python_unmodified_red,,,-1.1685917499855472,-0.5857014377278326,54.949430148123916,-310.00000000000006,90.0,0.0,0,0,10.949430148123957,0,0,,
BYAW0P3YPS31LXW035Y7,18,python_unmodified_red,,,-1.2346195813458922,-0.6187947705861924,56.330441545161435,-310.00000000000006,90.0,0.0,0,0,12.330441545161477,0,0,,
BYAW0P3YPS31LXW035Y7,19,python_unmodified_red,,,-1.2993268560790303,-0.6512262367873851,57.78383271425821,-310.00000000000006,90.0,0.0,0,0,13.783832714258248,0,0,,
BYAW0P3YPS31LXW035Y7,20,python_unmodified_red,,,-1.3627399853175057,-0.6830090736645539,59.308156059973044,-310.00000000000006,90.0,0.0,0,0,15.308156059973083,0,0,,
BYAW0P3YPS31LXW035Y7,21,python_unmodified_red,,,-1.4248848519712116,-0.7141562538041794,60.901992938773574,-310.00000000000006,90.0,0.0,0,0,16.90199293877362,0,0,,
BYAW0P3YPS31LXW035Y7,22,python_unmodified_red,,,-1.4857868212918435,-0.7446804903410122,62.5639530799981,-310.00000000000006,90.0,0.0,0,0,18.563953079998146,0,0,,
BYAW0P3YPS31LXW035Y7,23,python_unmodified_red,,,-1.5454707512260626,-0.7745942421471086,64.29267401839815,-310.00000000000006,90.0,0.0,0,0,20.292674018398184,0,0,,
BYAW0P3YPS31LXW035Y7,24,python_unmodified_red,,,-1.6039610025615973,-0.803909718917083,66.08682053803018,-310.00000000000006,90.0,0.0,0,0,22.08682053803022,0,0,,
BYAW0P3YPS31LXW035Y7,25,python_unmodified_red,,,-1.6612814488704215,-0.8326388861516578,67.94508412726958,-310.00000000000006,90.0,0.0,0,0,23.945084127269617,0,0,,
BYAW0P3YPS31LXW035Y7,26,python_unmodified_red,,,-1.717455486253069,-0.8607934700415413,69.86618244472419,-310.00000000000006,90.0,0.0,0,0,25.866182444724224,0,0,,
BYAW0P3YPS31LXW035Y7,27,python_unmodified_red,,,-1.7725060428880637,-0.8883849622536268,71.8488587958297,-310.00000000000006,90.0,0.0,0,0,27.848858795829738,0,0,,
BYAW0P3YPS31LXW035Y7,28,python_unmodified_red,,,-1.8264555883903582,-0.9154246246214708,73.89188161991311,-310.00000000000006,90.0,0.0,0,0,29.891881619913143,0,0,,
